x,y,z
-0.490783701,5.23246152,0.42517
0.533666299,5.16226152,0.70683
-0.036563701,5.20806152,0.72719
-1.160003701,4.98036152,1.16666
-0.694133701,5.20716152,0.74389
-1.394363701,5.18566152,0.77752
1.801376299,4.60556152,0.28208
1.404856299,5.20266152,0.39704
0.517626299,5.21346152,0.40303
-0.385473701,5.22536152,0.43483
-1.348903701,3.79736152,0.98976
0.632576299,5.15956152,0.71521
0.065136299,5.20196152,0.73557
-1.062423701,4.95656152,1.17147
-0.594723701,5.19106152,0.75113
-1.270113701,5.18846152,0.78871
1.854346299,4.53946152,0.27693
1.600926299,5.35596152,0.43703
0.625786299,5.22296152,0.41485
-0.261273701,5.24186152,0.44902
-1.235253701,3.78596152,0.99649
0.731216299,5.15766152,0.72359
0.175246299,5.20746152,0.7459
-0.489013701,5.18336152,0.75971
-1.150333701,5.18796152,0.79914
1.881056299,4.42756152,0.26251
1.560896299,5.15776152,0.40537
0.718216299,5.21286152,0.42252
-0.161703701,5.23056152,0.45748
0.816756299,5.13896152,0.72879
0.272686299,5.19846152,0.75344
-0.382283701,5.17816152,0.76856
-1.028243701,5.19156152,0.81008
1.616836299,5.10226152,0.4027
0.817466299,5.21306152,0.43211
-0.047233701,5.23846152,0.46955
0.249936299,3.61746152,0.92248
-0.032383701,5.01506152,1.17735
0.884926299,5.13106152,0.73371
0.352646299,5.20126152,0.7607
-0.295723701,5.18276152,0.77661
-0.934623701,5.19756152,0.81873
1.661216299,5.06416152,0.40137
0.800666299,5.08836152,0.41421
0.034576299,5.24056152,0.47771
0.958846299,5.09746152,0.73602
0.438756299,5.17956152,0.76572
-0.195863701,5.17156152,0.78412
-0.829183701,5.18536152,0.82662
1.726366299,5.02256152,0.40137
0.992146299,5.21796152,0.44936
0.150776299,5.25326152,0.49039
1.029486299,5.05946152,0.73746
0.535626299,5.17276152,0.77326
-1.446193701,3.85026152,1.06208
-1.261083701,4.87826152,1.26183
-0.093703701,5.16426152,0.79216
-0.702923701,5.19786152,0.83857
1.766606299,4.94126152,0.39337
1.080276299,5.20596152,0.45607
0.235706299,5.22846152,0.49552
1.087916299,5.00416152,0.73573
0.627516299,5.16046152,0.77968
-1.340273701,3.82886152,1.06729
-1.148053701,4.87006152,1.26831
0.010716299,5.16096152,0.80074
-0.607213701,5.17726152,0.84468
1.803456299,4.85336152,0.38404
1.189726299,5.22546152,0.46885
0.338956299,5.22766152,0.50518
1.154576299,4.96056152,0.73602
0.706256299,5.13146152,0.78303
-0.311403701,4.93266152,1.21895
-1.016783701,4.88376152,1.27739
0.101236299,5.14156152,0.80638
-0.499943701,5.17086152,0.85307
1.829846299,4.74696152,0.37104
1.277376299,5.21496152,0.47556
0.427346299,5.20896152,0.51122
1.208216299,4.89766152,0.73284
0.778026299,5.09336152,0.78471
-0.222833701,4.90646152,1.22256
-0.909713701,4.87166152,1.28312
0.196586299,5.12906152,0.81308
1.864436299,4.65236152,0.36037
1.354896299,5.19056152,0.4794
0.528876299,5.20816152,0.52058
1.245766299,4.84616152,0.72966
0.827896299,5.05956152,0.78499
-0.168253701,4.87256152,1.22336
-0.823343701,4.87036152,1.28831
0.265856299,5.11746152,0.81764
1.949526299,4.67966152,0.3717
1.536386299,5.35616152,0.51806
0.609316299,5.21416152,0.52873
1.278566299,4.75066152,0.7207
0.891946299,5.01106152,0.78471
-0.126573701,4.78826152,1.21935
-0.723193701,4.85236152,1.29312
1.936196299,4.50206152,0.3447
1.485156299,5.14096152,0.48451
0.691316299,5.18966152,0.53326
1.337076299,4.69336152,0.71839
0.948296299,4.95166152,0.78247
-0.100123701,4.68366152,1.21274
-0.643783701,4.81096152,1.29497
0.504966299,5.16066152,0.84205
1.871516299,4.23176152,0.29971
1.560636299,5.11466152,0.4877
0.809746299,5.21506152,0.54715
1.387486299,4.62306152,0.71377
1.001706299,4.88766152,0.7794
-0.580833701,4.75026152,1.29442
0.168736299,5.35406152,0.92608
1.585876299,5.01106152,0.47588
0.915896299,5.22556152,0.55802
0.099686299,3.79006152,1.0824
1.439566299,4.55466152,0.70943
1.057866299,4.82726152,0.77689
-0.517473701,4.68996152,1.29386
0.586066299,4.99796152,0.83105
0.228366299,5.29836152,0.92532
1.668316299,4.99556152,0.48099
0.836846299,4.98026152,0.52058
1.489096299,4.48136152,0.70423
1.128966299,4.78836152,0.77801
-0.465043701,4.61616152,1.29164
0.652816299,4.95116152,0.83132
